partition,index,nodegr,black,hisp,age_20s,age_30s,age_40s,age_50s,educ,married,u74,u75,Treatment,Outcome,Propensity,Proba_if_Treated,Proba_if_Untreated,CATE,Recommendation
train,0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,1,0,0,1.2000000000000000e+01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,4.9868373582620557e-01,9.7246426343917847e-01,7.9203063249588013e-01,1.8043363094329834e-01,1.0000000000000000e+00
train,1,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,1,0,0,1.3000000000000000e+01,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.9343973657659423e-01,9.8892760276794434e-01,9.2932808399200439e-01,5.9599518775939941e-02,0.0000000000000000e+00
train,2,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0,0,0,0,1.0000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.9417345361143490e-01,9.8338806629180908e-01,7.1918004751205444e-01,2.6420801877975464e-01,1.0000000000000000e+00
train,3,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0,1,0,9.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,6.9612115820708753e-01,9.8919862508773804e-01,9.6970278024673462e-01,1.9495844841003418e-02,0.0000000000000000e+00
train,4,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.2035734374304751e-01,9.2912739515304565e-01,9.6066099405288696e-01,-3.1533598899841309e-02,0.0000000000000000e+00
train,5,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0,0,0,9.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.2896836156794690e-01,7.5765627622604370e-01,6.5057963132858276e-01,1.0707664489746094e-01,0.0000000000000000e+00
train,6,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.4000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,5.5035723880365595e-01,8.5868287086486816e-01,5.6230223178863525e-01,2.9638063907623291e-01,1.0000000000000000e+00
train,7,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0,1,0,1.2000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,6.8180567084521615e-01,7.1638840436935425e-01,4.4373023509979248e-01,2.7265816926956177e-01,1.0000000000000000e+00
train,8,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.0000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.0271789569782246e-01,5.6789040565490723e-01,6.0445088148117065e-01,-3.6560475826263428e-02,0.0000000000000000e+00
train,9,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.1000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,3.9768251048190489e-01,7.1397948265075684e-01,5.9681493043899536e-01,1.1716455221176147e-01,1.0000000000000000e+00
train,10,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1,0,0,0,8.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,2.6086400352919664e-01,9.8350638151168823e-01,9.4387012720108032e-01,3.9636254310607910e-02,0.0000000000000000e+00
train,11,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0,0,0,1.0000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,3.2435434213366565e-01,5.6444448232650757e-01,6.7772483825683594e-01,-1.1328035593032837e-01,0.0000000000000000e+00
train,12,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,1,0,0,0,1.2000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,4.9853125135459547e-01,7.5889474153518677e-01,4.5330956578254700e-01,3.0558517575263977e-01,1.0000000000000000e+00
train,13,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1,0,0,0,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,2.6686418656260125e-01,9.5166367292404175e-01,9.6066099405288696e-01,-8.9973211288452148e-03,0.0000000000000000e+00
train,14,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0,0,0,1.0000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,3.2435434213366565e-01,5.6444448232650757e-01,6.7772483825683594e-01,-1.1328035593032837e-01,0.0000000000000000e+00
train,15,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0,0,0,0,8.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,3.3361560748699054e-01,4.1973605751991272e-01,8.6351162195205688e-01,-4.4377556443214417e-01,0.0000000000000000e+00
train,16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,1,0,0,1.2000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,4.1446098379762336e-01,9.8130166530609131e-01,6.5229117870330811e-01,3.2901048660278320e-01,1.0000000000000000e+00
