bitcoin_price,bitcoin_price_var,bit_eth_price,bit_eth_price_var,datetime
32840.72,10.44,13.18,10.44,2021-06-08 15:27:17.211590
32845.68,10.3,13.21,10.3,2021-06-08 15:27:39.472742
32845.68,10.3,13.21,10.3,2021-06-08 15:28:11.501833
32845.68,10.3,13.21,10.3,2021-06-08 15:28:29.657615
32845.68,10.3,13.21,10.3,2021-06-08 15:29:12.069820
32845.68,10.3,13.21,10.3,2021-06-08 15:29:22.727238
32845.68,10.3,13.21,10.3,2021-06-08 15:29:29.671108
31830.83,11.8,13.22,11.8,2021-06-08 16:30:55.382811
31830.83,11.8,13.22,11.8,2021-06-08 16:32:52.221397
31916.64,11.59,13.29,11.59,2021-06-08 16:33:33.477689
31916.64,11.59,13.29,11.59,2021-06-08 16:35:28.926959
31935.5,11.45,13.34,11.45,2021-06-08 16:40:28.911928
31935.5,11.45,13.34,11.45,2021-06-08 16:45:28.823931
31802.87,11.64,13.28,11.64,2021-06-08 16:50:32.340464
31743.46,11.75,13.38,11.75,2021-06-08 16:55:38.764374
31747.88,12.03,13.3,12.03,2021-06-08 17:00:46.385517
31747.88,12.03,13.3,12.03,2021-06-08 17:01:14.132746
31617.2,12.31,13.41,12.31,2021-06-08 17:12:59.754580
31617.2,12.31,13.41,12.31,2021-06-08 17:13:29.874381
31617.2,12.31,13.41,12.31,2021-06-08 17:14:25.164349
31617.2,12.31,13.41,12.31,2021-06-08 17:15:21.419431
31617.2,12.31,13.41,12.31,2021-06-08 17:16:17.178414
31617.2,12.31,13.41,12.31,2021-06-08 17:17:23.557454
31560.97,12.59,13.48,12.59,2021-06-08 17:18:41.585677
31560.97,12.59,13.48,12.59,2021-06-08 17:19:39.661945
31560.97,12.59,13.48,12.59,2021-06-08 17:20:34.811713
31560.97,12.59,13.48,12.59,2021-06-08 17:21:30.357924
"$31,560.97",12.59%,13.48 ETH,12.59%,2021-06-08 17:22:50.780152
